kic_id,planet_name,period_days,duration_hours,median_norm_depth,median_radius_ratio,transits_detected,planet_radius_Rjup,orbital_distance_AU,mean_confidence
5780885,Kepler-7b,4.885525,4.5,0.0073463812953949,0.10926206892046715,112,1.06475,0.05635,0.9815178571428572
6541920,Kepler-11b,10.3039,4.116,0.00085625427474695,0.0372552596764971,110,0.3645,0.09267,0.9653636363636363
6922244,Kepler-8b,3.5225,3.28,0.008599393388034,0.118382443742238,143,1.1536499999999998,0.04531,0.9893240093240093
10619192,Kepler-17b,1.4857,2.067,0.0012358071222409,0.0445154542846344,329,0.43,0.02548,0.9609726443768998
10874614,Kepler-6b,3.2347,3.23,0.0104192841383993,0.1300591348102673,97,1.2668,0.04281,0.9916494845360825
11446443,TrES-2b,2.47063,1.7,0.0134284178098077,0.14759410312067264,48,1.3644500000000002,0.03553,0.9921527777777778
11853905,Kepler-4b,3.21346,3.95,0.0007701411691851,0.0354273413956542,95,0.3447,0.04262,0.9995438596491227
